"X","Y"
17.75,15.75
18.25,15.75
18.75,15.75
19.25,15.75
19.75,15.75
20.25,15.75
20.75,15.75
21.25,15.75
21.75,15.75
22.25,15.75
22.75,15.75
23.25,15.75
23.75,15.75
0.25,16.25
0.75,16.25
1.25,16.25
1.75,16.25
2.25,16.25
2.75,16.25
3.25,16.25
3.75,16.25
4.25,16.25
4.75,16.25
5.25,16.25
5.75,16.25
6.25,16.25
6.75,16.25
7.25,16.25
7.75,16.25
8.25,16.25
8.75,16.25
9.25,16.25
9.75,16.25
10.25,16.25
10.75,16.25
11.25,16.25
11.75,16.25
12.25,16.25
12.75,16.25
13.25,16.25
13.75,16.25
14.25,16.25
14.75,16.25
15.25,16.25
15.75,16.25
16.25,16.25
16.75,16.25
17.25,16.25
17.75,16.25
18.25,16.25
18.75,16.25
19.25,16.25
19.75,16.25
20.25,16.25
20.75,16.25
21.25,16.25
21.75,16.25
22.25,16.25
22.75,16.25
23.25,16.25
23.75,16.25
0.25,16.75
0.75,16.75
1.25,16.75
1.75,16.75
2.25,16.75
2.75,16.75
3.25,16.75
3.75,16.75
4.25,16.75
4.75,16.75
5.25,16.75
5.75,16.75
6.25,16.75
6.75,16.75
7.25,16.75
7.75,16.75
8.25,16.75
8.75,16.75
9.25,16.75
9.75,16.75
10.25,16.75
10.75,16.75
11.25,16.75
11.75,16.75
12.25,16.75
12.75,16.75
13.25,16.75
13.75,16.75
14.25,16.75
14.75,16.75
15.25,16.75
15.75,16.75
16.25,16.75
16.75,16.75
17.25,16.75
17.75,16.75
18.25,16.75
18.75,16.75
19.25,16.75
19.75,16.75
20.25,16.75
20.75,16.75
21.25,16.75
21.75,16.75
22.25,16.75
22.75,16.75
23.25,16.75
23.75,16.75
0.25,17.25
0.75,17.25
1.25,17.25
1.75,17.25
2.25,17.25
2.75,17.25
3.25,17.25
3.75,17.25
4.25,17.25
4.75,17.25
5.25,17.25
5.75,17.25
6.25,17.25
6.75,17.25
7.25,17.25
7.75,17.25
8.25,17.25
8.75,17.25
9.25,17.25
9.75,17.25
10.25,17.25
10.75,17.25
11.25,17.25
11.75,17.25
12.25,17.25
12.75,17.25
13.25,17.25
13.75,17.25
14.25,17.25
14.75,17.25
15.25,17.25
15.75,17.25
16.25,17.25
16.75,17.25
17.25,17.25
17.75,17.25
18.25,17.25
18.75,17.25
19.25,17.25
19.75,17.25
20.25,17.25
20.75,17.25
21.25,17.25
21.75,17.25
22.25,17.25
22.75,17.25
23.25,17.25
23.75,17.25
0.25,17.75
0.75,17.75
1.25,17.75
1.75,17.75
2.25,17.75
2.75,17.75
3.25,17.75
3.75,17.75
4.25,17.75
4.75,17.75
5.25,17.75
5.75,17.75
6.25,17.75
6.75,17.75
7.25,17.75
7.75,17.75
8.25,17.75
8.75,17.75
9.25,17.75
9.75,17.75
10.25,17.75
10.75,17.75
11.25,17.75
11.75,17.75
12.25,17.75
12.75,17.75
13.25,17.75
13.75,17.75
14.25,17.75
14.75,17.75
15.25,17.75
15.75,17.75
16.25,17.75
16.75,17.75
17.25,17.75
17.75,17.75
18.25,17.75
18.75,17.75
19.25,17.75
19.75,17.75
20.25,17.75
20.75,17.75
21.25,17.75
21.75,17.75
22.25,17.75
22.75,17.75
23.25,17.75
23.75,17.75
0.25,18.25
0.75,18.25
1.25,18.25
1.75,18.25
2.25,18.25
2.75,18.25
3.25,18.25
3.75,18.25
4.25,18.25
4.75,18.25
5.25,18.25
5.75,18.25
6.25,18.25
6.75,18.25
7.25,18.25
7.75,18.25
8.25,18.25
